genre,feature,genre_mean,genre_std,n_obs
pop,danceability,0.5804757281553398,0.14004942434223916,412
rock-n-roll,danceability,0.5499681818181817,0.13928116088752387,660
hip-hop,danceability,0.7239537037037037,0.1266022788074692,540
jazz,danceability,0.4879778761061947,0.1491101304239105,452
electronic,danceability,0.6591063218390805,0.13032269927218493,696
pop,energy,0.5781723300970874,0.20052980170945378,412
rock-n-roll,energy,0.5072166666666666,0.17018861765453164,660
hip-hop,energy,0.6895814814814816,0.1420718638532231,540
jazz,energy,0.30613464601769913,0.1655747914085513,452
electronic,energy,0.6936528735632184,0.18523883045484146,696
pop,valence,0.4779621359223301,0.2245295765111435,412
rock-n-roll,valence,0.6508136363636363,0.21396831582726353,660
hip-hop,valence,0.542587037037037,0.22533734508406467,540
jazz,valence,0.48628030973451325,0.25991667441324595,452
electronic,valence,0.40696422413793104,0.24752303344366275,696
