term,row_type,model_1_flag,model_2_flag,model_3_flag,model_1_coef,model_1_se,model_1_p_value,model_2_coef,model_2_se,model_2_p_value,model_3_coef,model_3_se,model_3_p_value
Key = 1,estimate,,,,-0.6663241609429877,0.310670909716882,0.031969563741954206,0.24903042664398714,0.24089810641655704,0.30124915179328415,0.25483206393661356,0.2407224963829542,0.2897758749412177
Key = 2,estimate,,,,-0.01051068823482707,0.28986593934533145,0.9710746337044922,-0.2283182965492808,0.2228177361220958,0.3055111977063849,-0.27588544490158423,0.22216686019389295,0.2143126253685641
Key = 3,estimate,,,,0.23903064122475942,0.4668168530527555,0.6086204068337769,0.3882464530302097,0.3603714068206029,0.28132353867988624,0.40341408367715537,0.35917321632664595,0.261363525102732
Key = 4,estimate,,,,0.3699664195387975,0.31645951745710665,0.24237149413541692,0.32949099568196616,0.24220620500709933,0.1737116387364993,0.3139762988778274,0.24151307519378848,0.19358777004360284
Key = 5,estimate,,,,-0.003960793327733498,0.32431994489488175,0.9902559884501051,0.1067190569135555,0.2540889872270772,0.6744806170242953,0.09822010710729258,0.25344204624008193,0.6983530422610875
Key = 6,estimate,,,,0.021332592373282357,0.34768080409942154,0.9510750313423153,0.1525996344558821,0.2727997681974443,0.5759001564851297,0.18905233173494135,0.2719881246871753,0.4870078725940038
Key = 7,estimate,,,,-0.3285091861904753,0.2815693834850883,0.24332840579596748,-0.17128041794710658,0.21753184208478513,0.43105892334279716,-0.17144227428538908,0.21681394484680686,0.4290989176671728
Key = 8,estimate,,,,1.3638319566770434,0.35781451358324684,0.00013809179326452413,1.2270306608975945,0.2806895508559685,1.2340332328599051e-05,1.2301474639701235,0.2804286955722929,1.151004987646489e-05
Key = 9,estimate,,,,-0.25421634386225106,0.2965022009467277,0.39123251102576273,-0.45265842585525157,0.2304920678216175,0.04954417897476344,-0.4368213905663698,0.22977939361779512,0.05729587742379144
Key = 10,estimate,,,,-0.10223649649449415,0.34715820432451133,0.7683793729762602,0.5235320803723968,0.26766349858867583,0.05047295458822414,0.5247027050929557,0.2670378914092378,0.04942583343603983
Key = 11,estimate,,,,0.4639679226793427,0.33002432104345847,0.15976576348985805,0.15957469086051276,0.2579959700575264,0.5362351125638283,0.17757520090257684,0.25761774701100104,0.4906362371164912
Mode = 1,estimate,,,,-0.3200164057870566,0.15116132569512084,0.034255424190626355,-0.3996475437306435,0.12148788156797061,0.0010032693873272501,-0.3953329497120722,0.12126048988229714,0.0011133529350452174
Time signature = 1,estimate,,,,-10.053346725884733,1.1212863620881517,3.0774385895443155e-19,-5.214558321647061,1.1431535258425272,5.077603610487061e-06,-4.749866816253422,1.194081677660923,6.954390647837341e-05
Time signature = 3,estimate,,,,-7.823199691852382,0.9236088050421266,2.4486188758290762e-17,-3.8562846424345256,1.034756771943946,0.00019396107588722842,-3.5937159849215576,1.08519102909801,0.000927648818381091
Time signature = 4,estimate,,,,-4.034481731498646,0.896438530038185,6.7772414558212275e-06,-2.8250466685198377,1.0296443961471387,0.006074899110104583,-2.6601842742687127,1.0844377468319124,0.014164910116056268
Time signature = 5,estimate,,,,-9.16228510825959,1.024700959199238,3.841894512046609e-19,-3.6777918537562835,1.0663222133519925,0.0005625757636351075,-3.132883241974019,1.1123738831426957,0.004856605111415037
Duration (z),estimate,,,,-0.6973341137976682,0.06660329371984923,1.1868763917338782e-25,-0.1647873092132391,0.048173002274710025,0.0006245103695678201,-0.19963965660760946,0.04907004496503894,4.7324297677029086e-05
Explicit,estimate,,,,4.268441418108398,0.2701707105931345,3.158245403080655e-56,1.5050096570378317,0.2599748774703331,7.0782234686080465e-09,1.480225444129935,0.263760149802963,1.999861708102306e-08
Dance orientation (z),estimate,,,,,,,,,,0.6488728794372013,0.08523735460112238,2.6875834016105748e-14
Sonic intensity (z),estimate,,,,,,,,,,-0.7370784924964954,0.12490251818373255,3.6080141492436396e-09
Loudness (z),estimate,,,,,,,,,,0.3267934777871965,0.11019253323753081,0.003020351755308432
Speechiness (z),estimate,,,,,,,,,,-0.5569662721468672,0.07821841733123294,1.074162779834955e-12
Acousticness (z),estimate,,,,,,,,,,-0.4953695616082035,0.0972467369102507,3.50687924854294e-07
Instrumentalness (z),estimate,,,,,,,,,,-0.37142359358351795,0.07315442878310631,3.8292943291642136e-07
Liveness (z),estimate,,,,,,,,,,-0.4709757306129616,0.053175929399954115,8.22447305045627e-19
Positive affect (z),estimate,,,,,,,,,,-0.659213764924716,0.07915270021542167,8.195609015959543e-17
Tempo (z),estimate,,,,,,,,,,0.07179003255784167,0.059450494643098095,0.22721659672409877
N,summary,,,,73442.0,,,73442.0,,,73442.0,,
Adjusted R^2,summary,,,,0.011169067599812954,,,0.4091755261299014,,,0.4120380912391799,,
Adj. R^2 gain vs Model 2,summary,,,,,,,,,,0.0028625651092785143,,
Genre fixed effects,flag,No,Yes,Yes,,,,,,,,,
Affective/audio predictors,flag,No,No,Yes,,,,,,,,,
