genre,term,coefficient,std_error,p_value,n_obs,adj_r2,q_value,fdr_reject
pop,Dance orientation (z),3.275591939566818,2.1201781966797664,0.12235577548477904,412.0,0.13333035845740648,0.26219094746738364,False
pop,Sonic intensity (z),-1.1350284200524414,2.3896349454351693,0.634801343878493,412.0,0.13333035845740648,0.7324630890905688,False
pop,Positive affect (z),-1.18515716449813,2.3031052289050113,0.606838873247463,412.0,0.13333035845740648,0.7324630890905688,False
rock-n-roll,Dance orientation (z),0.33095248699284974,0.3329943534357355,0.3202870548922554,660.0,-0.007379842366796341,0.4701199469550101,False
rock-n-roll,Sonic intensity (z),0.10964238848072402,0.36145240119921057,0.7616319945624204,660.0,-0.007379842366796341,0.8160342798883076,False
rock-n-roll,Positive affect (z),0.41184204640773814,0.4358981939425298,0.3447546277670074,660.0,-0.007379842366796341,0.4701199469550101,False
hip-hop,Dance orientation (z),-1.782992559895423,1.4085570242057597,0.20557425152180753,540.0,0.31182819371091963,0.38545172160338914,False
hip-hop,Sonic intensity (z),3.0373658695654635,1.2452626598905263,0.014722397357909034,540.0,0.31182819371091963,0.05520899009215888,False
hip-hop,Positive affect (z),-0.049539783961566684,1.32954617447368,0.9702771628726208,540.0,0.31182819371091963,0.9702771628726208,False
jazz,Dance orientation (z),6.237626590605028,1.6471023802996978,0.00015245852636346546,452.0,0.18846788257159208,0.002286877895451982,True
jazz,Sonic intensity (z),-1.360749175150576,1.3482217585067826,0.31283470811322067,452.0,0.18846788257159208,0.4701199469550101,False
jazz,Positive affect (z),-5.428895893346142,1.8976781083629366,0.004225606426404249,452.0,0.18846788257159208,0.021128032132021246,True
electronic,Dance orientation (z),0.89564692819634,0.48741314915254835,0.06612847121410237,696.0,0.038985594146413116,0.16532117803525592,False
electronic,Sonic intensity (z),1.1779157984830642,0.5127240365841228,0.021597785200920507,696.0,0.038985594146413116,0.06479335560276153,False
electronic,Positive affect (z),-1.6843906063693423,0.4761280195166208,0.00040365241308425284,696.0,0.038985594146413116,0.0030273930981318965,True
