Date,event_date,GPR_ME,oil_shock,fx_dep,inflation_mom,CPI_Inf
2022-01-31,2022-03-31,0.1347682803869247,17.866824908493495,1.4253708229810869,0.6628027578413409,6.25
2022-02-28,2022-03-31,0.1570522502064704,10.991967913891543,1.0164113859348234,0.7404394174209905,7.31
2022-03-31,2022-03-31,0.4545016810297966,4.003006286449118,2.4048564714588494,1.7872124766121544,8.54
2022-04-30,2022-03-31,0.2134608656167984,0.9923568568239283,5.283465906593854,0.024151672620753573,9.9
2022-05-31,2022-03-31,0.1720332741737365,14.708575661322243,8.22912063917407,5.535009508316513,12.8
2023-08-31,2023-10-31,0.1953646346926689,2.3999760675492254,2.8789182465672525,2.543609751777609,25.88
2023-09-30,2023-10-31,0.2153790324926376,9.365288498422686,3.3044308127838207,3.426027768972606,25.69
2023-10-31,2023-10-31,1.447423443198204,-9.905178386003755,2.048801504974307,2.397961731548204,25.83
2023-11-30,2023-10-31,0.9938043527305126,-6.053823992202645,-0.14630509873079234,0.6266590765314994,25.24
2023-12-31,2023-10-31,0.795571580529213,-5.057222098709158,-0.6218862213234644,0.14405764796228127,24.37
2025-12-31,2026-02-28,0.2472545556724071,-4.338106449400936,-0.3693448335351235,-0.3105592558153347,5.6
2026-01-31,2026-02-28,0.4280277073383331,16.353715583562067,-0.528684624272735,-0.15564205476579218,5.1
2026-02-28,2026-02-28,0.4212225638329983,-1.2955533997602409,-0.46607094061510423,0.7371517376177472,6.2
